순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호,공사형태,위도,경도
9150,1,16-0000006763,1,2,220,590,220,1,2,2,105,3162382,'','',9935,5,16-006763,1,37.4987626,126.9372711
9151,1,16-0000007867,1,1,380,590,220,3,2,2,105,'','','',9936,5,16-007867,5,37.4968878,126.9335135
9163,1,16-0000005300,1,1,220,590,220,1,2,2,105,'','','',11402,2000-0000-000,16-005300,'',37.4759119,126.9008145
9184,1,16-0000002971,1,1,220,590,220,1,2,2,105,'','','',11991,2006-1108-042,16-002971,1,37.5947061,127.0757515
9185,1,16-0000002969,1,1,220,590,220,1,2,2,105,'','','',11992,2006-1108-042,16-002969,1,37.6189252,126.9348256
9186,1,16-0000002968,1,1,220,590,220,1,2,2,105,'','','',11993,2006-1108-042,16-002968,1,37.6181572,126.9352092
8154,1,16-0000004408,1,2,380,590,220,1,2,2,105,'','','',7008,2000-0000-000,16-004408,'',37.6238918,127.0895537
8161,1,16-0000006859,1,1,220,590,220,1,2,2,105,'','','',6402,5,16-006859,5,37.5633688,127.0195664
8487,1,16-0000006849,1,2,220,590,220,1,2,2,105,'','','',7080,1,16-006849,1,37.5627234,127.0210208
8844,1,16-0000004633,1,2,380,590,220,1,2,2,105,'','','',430,2005-0108-179,16-004633,1,37.6284099,127.0687648
9195,1,16-0000008394,1,2,220,590,220,1,2,2,105,'','','',10949,2000-0000-000,16-008394,'',37.4959758,127.0334686
8503,1,16-0000010867,1,2,220,590,220,1,2,1,105,'','','',13381,2000-0000-000,16-010867,'',37.4953041,126.9571341
8518,1,16-0000009524,1,2,220,590,220,1,2,2,105,'','','',15925,2000-0000-000,16-009524,'',37.4883449,127.0983639
8520,1,16-0000001540,1,1,220,590,220,1,2,2,105,'','','',1798,2000-0000-000,16-001540,'',37.5478712,126.959815
9149,1,16-0000007866,1,2,380,590,220,3,2,2,105,'','','',9932,5,16-007866,5,37.4985098,126.9373112
9180,1,16-0000008888,1,2,380,590,220,1,2,2,105,'','','',10372,2000-0000-000,16-008888,'',37.5491681,126.9537597
